Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
Wiluna Aged Care Services (Ngangganawili),Lot 1467 Thompson Street,,WILUNA,WA,6646,Mid West,Home Care,,,,Ngangganawili Aboriginal Community Controlled Health & Medical Services Aboriginal Corporation,Charitable,Very Remote Australia,-26.5928875,120.2168653," $218,009 "
Bupa Templestowe,222-228 Serpells Road,,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,142,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.76720883,145.1533983," $8,097,289 "
Life Without Barriers,10 O'Connell Street,,NORTH TAMWORTH,NSW,2340,New England,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-31.08226148,150.924605," $317,383 "
"At Home Services Feros Care - Barwon-South Western, Victoria","Level 27, 101 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care Limited,Community Based,Major Cities of Australia,-37.814541,144.9705," $1,370,199 "
At Home Services Feros Care - Loddon-Mallee VIC,101 Collins Street,,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care Limited,Community Based,Major Cities of Australia,-37.814541,144.9705," $1,475,430 "
At Home Services Feros Care - Eastern Metropolitan VIC,"Level 27, 101 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care Limited,Community Based,Major Cities of Australia,-37.814541,144.9705," $2,516,566 "
integratedliving - Central Coast,"Unit 4a, 1 Pioneer Avenue",,TUGGERAH,NSW,2259,Central Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Major Cities of Australia,-33.31630818,151.4212327," $1,597,292 "
Bupa Ballarat,305 Smythes Road,,DELACOMBE,VIC,3356,Grampians,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.59042354,143.8088634," $9,633,627 "
SCC (VIC) - Northern HCP1,2/677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.76068,145.070648," $17,079 "
SCC (VIC) - Barwon HCP3,"Suite 7, 267 Ryrie Street",,GEELONG,VIC,3220,Barwon-South Western,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-38.1502697,144.3647487," $153,608 "
Latrobe Home Care Packages - Grampians,81-87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $880,191 "
SCC (VIC) - Western HCP1,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.76068,145.070648," $69,087 "
SCC (VIC) - Loddon Mallee HCP1,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.3621966,145.4043668," $911,211 "
integratedliving - Southern Highlands,3 / 127 Carp Street,,BEGA,NSW,2550,Southern Highlands,Home Care,,,,Integratedliving Australia Ltd,Community Based,Outer Regional Australia,-36.67410097,149.844034," $1,506,632 "
Latrobe Home Care Packages - Hume,53 Ryley Street,,WANGARATTA,VIC,3677,Hume,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-36.35745028,146.3216848," $1,221,750 "
Camberwell Green,12 Hunter Road,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,50,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83771279,145.0829588," $1,468,700 "
IPC HEALTH LTD,"Level 1, 399 Melton Highway",,TAYLORS LAKES,VIC,3038,Western Metro,Home Care,,,,IPC Health Ltd,Community Based,Major Cities of Australia,-37.7000966,144.7741088," $406,273 "
SCC (VIC) - Hume HCP1,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.3621966,145.4043668," $12,585 "
Templestowe Manor,410-418 Thompsons Road,,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,60,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.75830108,145.1141925," $1,629,779 "
KinCare - South East Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $1,027,683 "
Annecto HCP Program Southern Region - Level 2,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $462,926 "
VincentCare Victoria Consumer Directed Packages - NMR,80 Wheatsheaf Road,,GLENROY,VIC,3046,Northern Metro,Home Care,,,,VincentCare Victoria,Religious,Major Cities of Australia,-37.706405,144.919651," $1,180,169 "
Jewish Care Victoria,619 St Kilda Road,,ST KILDA,VIC,3182,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.852933,144.982152," $742,585 "
mecwacare Home Care Packages (Western Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $1,325,694 "
Living Care Home Care Services Maitland,7 Martin Close,,EAST MAITLAND,NSW,2323,Hunter,Home Care,,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-32.76599596,151.5901962," $1,142,637 "
KinCare - Inner West - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $1,046,588 "
mecwacare Home Care Packages (Eastern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $1,659,566 "
mecwacare Home Care Packages (Northern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $999,375 "
mecwacare Home Care Packages (Southern Metro Region),4/66-68 Main Street,,PAKENHAM,VIC,3810,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-38.07633465,145.4806665," $1,658,829 "
Wimmera Community Options,5 Robinson Street,,HORSHAM,VIC,3400,Grampians,Home Care,,,,Grampians Community Health,State Government,Outer Regional Australia,-36.71353471,142.2075514," $286,915 "
Baptcare - Northern HCP 3,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.68357729,145.0695029," $1,107,086 "
Australian Unity Community Care - Grampians,27/20 Enterprise Drive,University Hill,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.68539315,145.0701196," $990,507 "
Australian Unity Community Care - SMR,77 Tanti Avenue,,MORNINGTON,VIC,3931,Southern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.22023365,145.0449343," $330,477 "
CCSSCI Western Home Care,"Suite 6, Level 1, MC Square",687 Doncaster Road,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.787213,145.131436," $591,784 "
Parkglen Homecare Services,360 Cheltenham Road,,KEYSBOROUGH,VIC,3173,Southern Metro,Home Care,,,,Druids Friendly Society Limited,Publicly Listed Company,Major Cities of Australia,-37.99376454,145.1640045," $514,674 "
Bupa Clemton Park,1 Tedbury Street,,CLEMTON PARK,NSW,2206,Inner West,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.92354897,151.1037387," $11,327,704 "
Baptcare - Hume HCP 3,2/88 Watson St,,WALLAN,VIC,3756,Hume,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.4160541,144.9779775," $1,161,969 "
Baptcare - Barwon HCP 3,132 Yarra St,,GEELONG,VIC,3220,Barwon-South Western,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-38.1517512,144.3612441," $162,471 "
St Ives Home Care - Northern Sydney,"Suite 3.02, Level 3,",1 Richardson Place,NORTH RYDE,NSW,2113,Northern Sydney,Home Care,,,,St Ives Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.79668964,151.1453024," $1,659,260 "
Baptcare - Eastern HCP 1,"Suite 2, 35 Seymour Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.81605408,145.2237876," $68,181 "
Baptcare - Gippsland HCP 3,116 George St,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Baptcare Ltd,Religious,Inner Regional Australia,-38.238867,146.398868," $707,972 "
KinCare - Western Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $588,594 "
Community Care New England - Tamworth,15 Church Street,,WEST TAMWORTH,NSW,2340,New England,Home Care,,,,The Benevolent Society,Charitable,Inner Regional Australia,-31.09158138,150.9205448," $533,415 "
KinCare - South West Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895," $1,122,299 "
KinCare - Southern Highlands - home care packages,"Suite 1, 17 Napier Close",,DEAKIN,ACT,2600,ACT,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-35.32173925,149.096484," $600,633 "
HammondCare - Western Sydney,"Level 1, 11-23 Judd Avenue",,HAMMONDVILLE,NSW,2170,South West Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.95051756,150.9587803," $2,487,494 "
UPA HCP - Wagga Wagga,31 Shaw Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-35.11411604,147.3551901," $183,645 "
ARV Community Services Illawarra,11 Military Road,,PORT KEMBLA,NSW,2505,Illawarra,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.47867285,150.9003089," $279,442 "
Aged and Regional Community Care Service,Level 1,235 Lords Place,ORANGE,NSW,2800,Central West,Home Care,,,,CareWest Ltd,Community Based,Inner Regional Australia,-33.28291692,149.1008848," $522,160 "
Montefiore HomeCare Northern Sydney,120 High Street,,HUNTERS HILL,NSW,2110,Northern Sydney,Home Care,,,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,-33.82127872,151.139635," $779,019 "
Montefiore HomeCare,37 Dangar Street,,RANDWICK,NSW,2031,South East Sydney,Home Care,,,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,-33.90514075,151.2400813," $616,764 "
ANHF Home Care Packages SES,413 Beamish Street,,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.91720575,151.1046079," $2,161,319 "
Frankston Nursing Home,8-12 Nolan Street,,FRANKSTON,VIC,3199,Southern Metro,Residential,47,,,Merakis Enterprises Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.14921299,145.1175331," $2,726,266 "
St Ives Home Care - South West Sydney,"Suite 3.02, Level 3,",1 Richardson Place,NORTH RYDE,NSW,2113,Northern Sydney,Home Care,,,,St Ives Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.79668964,151.1453024," $1,047,463 "
At Home Services Feros Care - Northern Sydney NSW,Level 26,44 Market Street,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care Limited,Community Based,Major Cities of Australia,-33.87080034,151.2070331," $1,666,135 "
integratedliving - New England,"Shop 1, 240 Beardy Street",,ARMIDALE,NSW,2350,New England,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-30.51300822,151.6627427," $1,099,914 "
Life Without Barriers - Far North Coast,2/97 Tamar Street,,BALLINA,NSW,2478,Far North Coast,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-28.86793627,153.5586183," $763,009 "
integratedliving - Cabool,"Lot 2, 118 Bulcock Street",,CALOUNDRA,QLD,4551,Sunshine Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Major Cities of Australia,-26.80473042,153.1285198," $1,259,527 "
At Home Services Feros Care - Northern Metropolitan Victoria,Level 2 / 101 Collins Street,,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care Limited,Community Based,Major Cities of Australia,-37.814541,144.9705," $1,236,814 "
Bupa Runaway Bay,376-378 Pine Ridge Road,,COOMBABAH,QLD,4216,South Coast,Residential,108,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.91570191,153.3864924," $7,597,509 "
At Home Feros Care - Darling Downs QLD,"Suite 212, Level 2 Showcase on t",72-80 Marine Pde,COOLANGATTA,QLD,4225,South Coast,Home Care,,,,Feros Care Limited,Community Based,Major Cities of Australia,-28.16798859,153.5388808," $786,127 "
integratedliving - Darling Downs,10 Russell Street,,TOOWOOMBA CITY,QLD,4350,Darling Downs,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-27.55966663,151.9549569," $1,424,710 "
Salem Lutheran Rest Home - Flexible Darling Downs,280 Hume Street,,SOUTH TOOWOOMBA,QLD,4350,Darling Downs,Home Care,,,,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,-27.57860987,151.955422," $511,866 "
St Vincent's Care Services Maroochydore,37 Baden Powell Street,,MAROOCHYDORE,QLD,4558,Sunshine Coast,Residential,120,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-26.651221,153.08813," $915,742 "
St Ives Care - Home Care - Brisbane South,"Unit 6, 19 Cotton Street",,NERANG,QLD,4211,South Coast,Home Care,,,,St Ives Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.98847579,153.3352949," $1,169,266 "
Carinya Of Bristol,41 Bristol Avenue,,BICTON,WA,6157,Metropolitan South West,Residential,40,,,Bansley Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.02927,115.78211," $2,114,883 "
Braemar Cooinda,31 Moorhouse Street,,WILLAGEE,WA,6156,Metropolitan South West,Residential,108,,,The Commissioners of the Presbyterian Church in WA,Religious,Major Cities of Australia,-32.047,115.815," $3,941,635 "
3Bridges Community Incorporated,1/72 Carwar Avenue,,CARSS PARK,NSW,2221,South East Sydney,Home Care,,,,3Bridges Community Limited,Community Based,Major Cities of Australia,-33.98985735,151.1173285," $753,391 "
Community Care (Northern Beaches) Ltd,"Unit 7/8, Level 1, 10 Park St",,MONA VALE,NSW,2103,Northern Sydney,Home Care,,,,Community Care (Northern Beaches) Limited,Community Based,Major Cities of Australia,-33.67581949,151.3056523," $1,198,619 "
RDNS Home Care Packages NSW Illawarra,Illawarra Division of General Pr,"Suite 3, Level 1 336 Keira Stree",WOLLONGONG,NSW,2500,Illawarra,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-34.43312716,150.891734," $1,103,364 "
Care Connect - Wide Bay,17 Palana Ct,,BUDERIM,QLD,4556,Sunshine Coast,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-26.67018861,153.0402178," $646,240 "
CO.AS.IT. Home Care Packages - South Coast,35 Dover Street,,ALBION,QLD,4010,Brisbane North,Home Care,,,,CO.AS.IT. Community Services Inc.,Community Based,Major Cities of Australia,-27.43137887,153.0449087," $442,641 "
Grand Cedar,61-63 High Street Road,,ASHWOOD,VIC,3147,Eastern Metro,Residential,75,,,Newcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8661061,145.0970201," $2,013,526 "
Greenhill Manor,190 Princes Highway,,FIGTREE,NSW,2525,Illawarra,Residential,49,,,Greenhill Manor Pty Limited,Private Incorporated Body,Major Cities of Australia,-34.44250116,150.8529847," $594,104 "
Carinity Home Care - Logan River Valley,120 Mudgeeraba Road,,MUDGEERABA,QLD,4213,South Coast,Home Care,,,,The Baptist Union of Queensland,Religious,Major Cities of Australia,-28.06537109,153.3554804," $198,393 "
St Ives Homecare - South Coast Qld,"Unit 6, 19 Cotton Street",,NERANG,QLD,4211,South Coast,Home Care,,,,St Ives Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.98847579,153.3352949," $1,162,198 "
Orana Lutheran Community Care,24 MacDiarmid Street,,KINGAROY,QLD,4610,Wide Bay,Home Care,,,,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,-26.53179745,151.8445797," $254,365 "
White Oak Home Care Services,14/115 Grand Boulevard,,JOONDALUP,WA,6027,Metropolitan North,Home Care,,,,White Oak Home Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.74149,115.77065," $699,161 "
HenderCare Aged Care Services,"Suite 3, 610 Murray Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,HenderCare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.94879,115.84717," $84,277 "
Community Aged Care Programs Metro West,9 Albert Street,,SEMAPHORE,SA,5019,Metropolitan West,Home Care,,,,UnitingCare Wesley Port Adelaide Incorporated,Religious,Major Cities of Australia,-34.8421743,138.480773," $1,233,506 "
ACH Group Home Care Metro West,22 Gordon Street,,GLENELG,SA,5045,Metropolitan South,Home Care,,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,-34.9788521,138.5180136," $1,565,314 "
Resthaven Western Community Service,96 Woodville Road,,WOODVILLE,SA,5011,Metropolitan West,Home Care,,,,Resthaven Inc,Charitable,Major Cities of Australia,-34.8758193,138.5404928," $2,944,821 "
Care Connect Homecare Logan River Valley,"Suite 39, Level 3, 75 Wharf St",,TWEED HEADS,NSW,2485,Far North Coast,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-28.17313228,153.5423099," $650,704 "
Home Support Services - Consumer Directed Home Care - Metro North,257 Fullarton Road,,PARKSIDE,SA,5063,Metropolitan East,Home Care,,,,Home Support Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.94661654,138.624462," $403,573 "
Northern Community Care Program Metro East,1538 Main North Road,,SALISBURY SOUTH,SA,5106,Metropolitan North,Home Care,,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,-34.78361038,138.6505986," $1,395,435 "
SCC Homecare (East Level 1-4),"Unit 1, 366 Marion Road",,NORTH PLYMPTON,SA,5037,Metropolitan West,Home Care,,,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,-34.9593718,138.5541253," $1,032,061 "
St Louis Home Care SA Metro GLBTI,11 Dudley Road,,MARRYATVILLE,SA,5068,Metropolitan East,Home Care,,,,St Louis Community Care Packages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.92767976,138.6496983," $556,384 "
New Service - 2012 - Life Without Barriers (Victoria),"Level 2, 1-7 Langhorne Street",,DANDENONG,VIC,3175,Southern Metro,Home Care,,,,Life Without Barriers,Community Based,Major Cities of Australia,-37.98672305,145.2147225," $506,945 "
Care Forward North Western Tasmania,23 Steele Street,,DEVONPORT,TAS,7310,North Western,Home Care,,,,CARE ASSESSMENT CONSULTANTS PTY. LTD.,Private Incorporated Body,Inner Regional Australia,-41.18187161,146.3604162," $925,725 "
Care Forward Northern Tasmania,101 Stanley Street,,SUMMERHILL,TAS,7250,Northern,Home Care,,,,CARE ASSESSMENT CONSULTANTS PTY. LTD.,Private Incorporated Body,Inner Regional Australia,-41.46809132,147.1313985," $244,073 "
Annecto Western Sydney Level 2,"Level 2, 37-47 St Johns Road",,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402," $268,785 "
At Home Service Feros Care - Northern Tasmania,111 Macquarie Street,,HOBART,TAS,7000,Southern,Home Care,,,,Feros Care Limited,Community Based,Inner Regional Australia,-42.88311881,147.3291098," $476,284 "
Arcare Brisbane South Home Care,"Lot 14, 8 Metroplex Avenue",,MURARRIE,QLD,4172,Brisbane South,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.45596551,153.0995062," $1,141,301 "
"KinCare At Home, QLD, Sunshine Coast Home Care","Suite 45, 3 Dennis Road",,SPRINGWOOD,QLD,4127,Logan River Valley,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.6212368,153.1291046," $1,531,780 "
IRT Sunshine Coast Community Services - Home Care,22 Power Road,,BUDERIM,QLD,4556,Sunshine Coast,Home Care,,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-26.70925558,153.0666643," $693,331 "
"KinCare At Home, QLD, South Coast - Home Care","Suite 45, 3 Dennis Road",,SPRINGWOOD,QLD,4127,Logan River Valley,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.6212368,153.1291046," $1,219,555 "
"KinCare At Home, QLD, Logan River Valley - Home Care","Suite 45, 3 Dennis Road",,SPRINGWOOD,QLD,4127,Logan River Valley,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.6212368,153.1291046," $383,428 "
"KinCare At Home, QLD, Brisbane South - Home Care","Suite 45, 3 Dennis Road",,SPRINGWOOD,QLD,4127,Logan River Valley,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.6212368,153.1291046," $718,065 "
IRT Woodlands,22 Lacebark Street,,MERIDAN PLAINS,QLD,4551,Sunshine Coast,Residential,60,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-26.75516279,153.1076298," $2,946,169 "
KinCare At Home Metro Perth,"Level 1, 2 Mackie Street",,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476," $1,505,866 "
Arcare Gold Coast - Home Care,103 Lindfield Road,,HELENSVALE,QLD,4212,South Coast,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.92368448,153.3331044," $735,370 "
Arcare Sunshine Coast - Home Care,33-41 Ridgeview Drive,,PEREGIAN SPRINGS,QLD,4573,Sunshine Coast,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-26.49926567,153.0782166," $697,703 "
At Home Service Feros Care - Southern Tasmania,111 Macquarie Street,,HOBART,TAS,7000,Southern,Home Care,,,,Feros Care Limited,Community Based,Inner Regional Australia,-42.88311881,147.3291098," $496,381 "
Bupa Cairns,52-58 Swallow Street,,MOOROOBOOL,QLD,4870,Far North,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Outer Regional Australia,-16.93279926,145.7401381," $10,043,013 "
Cumberland View Hostel Home Care Packages,123 - 127 Whalley Drive,,WHEELERS HILL,VIC,3150,Eastern Metro,Home Care,,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.92274395,145.1986479," $348,867 "
CCSSCI Eastern Home Care,"Suite 6, Level 1, MC Square",687 Doncaster Road,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.787213,145.131436," $2,066,612 "
Community Care Services Victoria Pty Ltd - EMR,356 Boundary Road,,DINGLEY VILLAGE,VIC,3172,Southern Metro,Home Care,,,,Community Care Services Victoria Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.97706073,145.1113735," $760,633 "
Arcare Caboolture,51-67 Manley Street,,CABOOLTURE,QLD,4510,Cabool,Residential,100,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.07600118,152.9619799," $6,680,788 "
Nextt South East Sydney CDC Program,9 Wrights Road,,DRUMMOYNE,NSW,2047,Inner West,Home Care,,,,AAA Nextt Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.84930453,151.1538172," $577,794 "
Excel Care - Wide Bay,c/- Keppel Community Care Associ,69 Pattison Street,EMU PARK,QLD,4710,Fitzroy,Home Care,,,,ExcelCare Australia Inc.,Charitable,Inner Regional Australia,-23.25569233,150.8254385," $263,558 "
Walgett Multi-Purpose Service,141 Fox Street,,WALGETT,NSW,2832,Orana Far West,Multi-Purpose Service,8,,,Western NSW Local Health District,State Government,Remote Australia,-30.031428,148.116026," $538,850 "
Life Without Barriers - Alice Springs,"Shop 1, 18 Wilkinson Street",,ALICE SPRINGS,NT,870,Alice Springs,Home Care,,,,Life Without Barriers,Community Based,Remote Australia,-23.69874516,133.8693646," $18,976 "
SCC Homecare (Darwin level1 - 4),11  WARATAH CRESCENT,,FANNIE BAY,NT,820,Darwin,Home Care,,,,Southern Cross Care (SA & NT) Incorporated,Religious,Outer Regional Australia,-12.419741,130.838279," $642,145 "
Abbey Gardens Aged Care,Tarwin Street,,WARRAGUL,VIC,3820,Gippsland,Residential,123,,,Alysium Gardens Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.15358657,145.9193597," $1,149,612 "
Hammond Community Care - Central Coast EACH,"Suite 8, 451 Pacific Highway",,NORTH GOSFORD,NSW,2250,Central Coast,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.41095636,151.3474371," $1,713,829 "
Care Services for Older People Metro Wide,332 Regency Road,,PROSPECT,SA,5082,Metropolitan East,Home Care,,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,-34.87416297,138.584791," $420,092 "
Macquarie Service Centre Home Care CACPs,295 High Street,,PENRITH,NSW,2750,Nepean,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.75352984,150.6971662," $45,819 "
Sturt Home Care CACPs,76 Morgan Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-35.11638142,147.3697497," $28,952 "
Mekong Cairnlea Vietnamese Aged Care,3 Cairnlea Drive,,CAIRNLEA,VIC,3023,Western Metro,Residential,60,,,Indochinese Elderly Refugees Association Victoria Inc,Community Based,Major Cities of Australia,-37.752476,144.779532, n.a. 
Bupa Seaforth,550 Sydney Road,,SEAFORTH,NSW,2092,Northern Sydney,Residential,76,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.79722629,151.25097," $1,373,321 "
Advantaged Care at Prestons Lodge,18 Melaleuca Place,,PRESTONS,NSW,2170,South West Sydney,Residential,132,,,Advantaged Care 2 Pty Limited ATF The Prestons Lodge Trust,Private Incorporated Body,Major Cities of Australia,-33.949988,150.88017," $1,036,477 "
Churches of Christ Care - Community Care - North Queensland,260 Fulham Road,,HEATLEY,QLD,4814,Northern,Home Care,,,,Churches of Christ in Queensland,Religious,Outer Regional Australia,-19.28910723,146.759852," $708,638 "
Elm Flora Hill,64 Somerville Street,,BENDIGO,VIC,3550,Loddon-Mallee,Residential,46,,,Elm Aged Living Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.77526796,144.2894979," $2,124,614 "
Elm Mount Martha Valley,130 Country Club Drive,,SAFETY BEACH,VIC,3936,Southern Metro,Residential,125,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-38.328255,144.985426," $6,827,709 "
